ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units,kgPin/year,Crystalactor kgPrec/year,Crystalactor EUR/kgPrec,Ostara Pearl kgPrec/year,Ostara Pearl EUR/kgPrec,P RoC kgPrec/year,P RoC EUR/kgPrec,REMNUT kgPrec/year,REMNUT EUR/kgPrec,AirPrex kgPrec/year,AirPrex EUR/kgPrec,PRISA kgPrec/year,PRISA EUR/kgPrec
17251,City of Toronto,Humber Treatment Plant,Toronto,ON,43.6336,-79.4768,operational,3520.0,Toronto,113709.15,101415.59,99192.8,94167.77,120459.81,104417.06,114550.173,thousand m3,51848.765002645865,19702.530701005428,13.502617190718125,10369.753000529174,11.58797435852102,13999.166550714384,4.511645027666085,24368.919551243554,32.12295513818725,7777.314750396879,8.71908118696394,9332.777700476256,18.08990271414322
18076,County of Oxford,Tavistock Lagoons,Tavistock,ON,43.3113,-80.8308,operational,3532.0,Oxford,860.705,760.902,625.825,528.949,690.72,1128.212,516.806,thousand m3,233.9215397427414,88.89018510224173,123.63513808368754,46.78430794854828,367.4812415961697,63.158815730540184,14.804097166568349,109.94312367908846,44.41765058114568,35.088230961411206,248.19041602788005,42.10587715369345,393.0674729134237
18945,Regional Municipality of Waterloo,New Hamburg Wastewater Treatment Lagoons,New Hamburg,ON,43.3651,-80.6865,operational,3530.0,Waterloo,1442.8742,1335.9607,1125.637,1144.787,1342.143,1380.251,1286.11,thousand m3,582.1310733206215,221.20980786183617,85.0750445820251,116.4262146641243,205.03443770442735,157.1753897965678,12.11358809338929,273.60160446069204,42.05315164414188,87.31966099809321,141.02485273548632,104.78359319771185,233.76273663663565
19048,The Corporation of the Municipality of West Perth,Mitchell Wastewater Treatment Plant,Mitchell,ON,43.4546,-81.1956,operational,3531.0,Perth,1685.115,717.3425,975.575,734.8435000000001,1574.406,1689.866,1653.3332,thousand m3,748.3470545074821,284.3718807128432,76.75001233655601,149.66941090149643,174.5879066252483,202.05370471702017,11.462377364206018,351.72311561851654,41.42415069076917,112.2520581761223,120.68815452715234,134.70246981134676,202.5808495131312
19140,City of Toronto,Ashbridges Bay Treatment Plant,Toronto,ON,43.6574,-79.3167,operational,3520.0,Toronto,230456.6,232931.929,213551.4882,201228.89,240816.927,205749.892,237723.434,thousand m3,107600.59231938476,40888.22508136621,10.00959934993012,21520.118463876952,7.262375967802135,29052.159926233886,3.842183904463719,50572.278390110834,30.746162376350107,16140.088847907713,5.5447688907729,19368.106617489255,11.93171224994127
20218,County of Oxford,Oxford County Ingersoll WWTP,Ingersoll,ON,43.036,-80.8934,operational,3532.0,Oxford,2839.256,2603.865,2365.576,2717.648,2659.744,2708.524,2826.933,thousand m3,1279.5527143832833,486.23003146564764,61.5980339938433,255.91054287665668,123.85766126290147,345.47923288348653,10.186490250322773,601.3897757601432,40.11218367058621,191.93290715749248,86.54310375881441,230.319488588991,149.21550894885667
20971,Township of Selwyn,Lakefield Waste Water Treatment Plant,Lakefield,ON,44.4158,-78.2593,operational,3515.0,Peterborough,547.4350000000001,581.085,530.635,535.943,459.887,330.60200000000003,337.253,thousand m3,152.65059043985318,58.007224367144204,147.28018657881944,30.530118087970635,482.9176508657624,41.21565941876036,16.261616189511756,71.74577750673099,45.5698802004705,22.897588565977976,323.38172760060434,27.477106279173572,501.33611374035206
22298,Corp. of the City of Timmins,Mattagami Water Pollution Control Plan,Timmins,ON,48.4931,-81.3594,operational,3556.0,Cochrane,9709.849,10066.116,8144.376,7338.379000000001,7387.669,9038.5021,9629.7201,thousand m3,4358.693500237276,1656.3035300901647,37.26701518051534,871.7387000474552,56.52649538074614,1176.8472450640645,7.778914197725439,2048.5859451115193,37.26819990111578,653.8040250355913,40.47693455027939,784.5648300427096,74.20001959448786
22327,The Corporation of the City of Orillia,Wastewater Treatment Centre,Orillia,ON,44.5907,-79.4141,operational,3543.0,Simcoe,5344.822,5584.6596,4862.3961,5129.7712,5756.2461,5563.1282,5953.8046,thousand m3,2694.8664283298112,1024.0492427653282,45.38793621214138,538.9732856659623,76.89467677184805,727.613935649049,8.646874989137093,1266.5872213150112,38.35902514709969,404.22996424947166,54.5350164288427,485.075957099366,97.59574854452461
22430,The Corporation of the City of Quinte West,Trenton Wastewater Treatment Plant,Trenton,ON,44.0992,-77.5602,operational,3512.0,Hastings,4444.462,4821.3782,4090.808,3907.558,5224.515,4566.031,5359.1071,thousand m3,2425.6889132058404,921.7617870182194,47.38908394122408,485.1377826411681,82.25184451898231,654.9360065655769,8.849396439646274,1140.073789206745,38.601989651950646,363.85333698087607,58.21176610399998,436.6240043770513,103.6289552351399
