,index,Physical Address,latitude,longitude,NURSERY_PI,FINISHERS,SOWS,BOARS,Animal Units
143,392,6557 N Orchard Rd,37.981942,-87.116141,756.0,1550.0,300.0,0.0,366.04491909865146
144,394,CR 300 N & CR 780 E,40.33037657,-86.35917469,0.0,6200.0,0.0,0.0,682.0682068206821
145,399,13929 Grotrain Rd,40.95897995,-84.92031326,400.0,2400.0,0.0,0.0,308.03080308030803
146,401,Highland Center Rd & James Rd,39.350371,-84.992659,900.0,1300.0,497.0,0.0,428.1665245176203
147,402,1913 E CR 700 S,40.649165,-86.833431,2000.0,2000.0,0.0,0.0,440.04400440044003
148,403,10678 N CR 200 E,41.388468,-85.806572,500.0,2670.0,0.0,0.0,348.73487348734875
149,406,CR 1160 N & CR 1200 E,38.06575481,-86.82958508,820.0,2261.0,375.0,0.0,479.3933325916861
150,408,8155 N Delaware County Rd,40.280417,-85.218036,0.0,3200.0,0.0,0.0,352.035203520352
151,411,11831 W CR 500 S,40.229918,-86.23747,0.0,9240.0,0.0,0.0,1016.5016501650165
152,414,119 E CR 800 N,40.88110209,-86.37224499,0.0,3200.0,0.0,0.0,352.035203520352
153,417,4023 S CR 800 W,40.377958,-85.130411,0.0,11450.0,0.0,0.0,1259.6259625962596
154,418,999 SR 161,38.018718,-87.185669,1050.0,2632.0,411.0,0.0,558.993090320268
155,421,1620 S CR 600 W,40.726843,-86.985939,2100.0,2300.0,0.0,0.0,484.04840484048407
156,422,8242 W CR 500 S,40.474912,-86.66247,2600.0,4000.0,1200.0,0.0,1175.5108095079172
157,423,7064 W CR 250 S,40.511103,-86.65875,1350.0,2400.0,472.0,0.0,589.320280342641
158,425,455 S CR 800 E,39.60758,-85.299702,480.0,1200.0,388.0,0.0,330.1368339081099
159,426,12480 W CR 800 S,41.118046,-86.063286,720.0,1360.0,6298.0,0.0,2587.6243804155697
160,427,12890 S CR 1000 W,40.567347,-87.057056,1000.0,1800.0,448.0,0.0,475.8210652525927
161,434,3456 S CR 1100 E,40.238341,-86.299454,0.0,11500.0,0.0,0.0,1265.126512651265
162,436,CR 375 N & CR 925 E,40.818794,-86.200431,0.0,4030.0,0.0,0.0,443.34433443344335
163,439,7473 E CR 100 S,40.148229,-84.841142,0.0,3900.0,0.0,0.0,429.042904290429
164,440,3965 E CR 825 S,40.631578,-86.800783,2750.0,5500.0,0.0,0.0,907.5907590759076
165,441,6606 W CR 200 N,40.345325,-87.445779,2590.0,4000.0,680.0,0.0,979.6541451897999
166,445,4105 N SR 1,39.88716751,-85.14363339,2000.0,4000.0,700.0,0.0,922.2382912448548
167,446,12698 W CR 400 N,40.53239,-86.369875,240.0,9460.0,198.0,0.0,1141.2640140418537
168,447,10690 E CR 100 S,41.627396,-85.217226,920.0,2376.0,288.0,0.0,470.46142816528845
169,448,CR 100 S & CR 700 W,39.313313,-85.612464,3500.0,1900.0,0.0,0.0,594.059405940594
170,449,CR 400 S & CR 700 E,39.6067004,-85.31839495,0.0,3000.0,0.0,0.0,330.03300330033005
171,451,11701 W CR 200 N,40.464951,-85.201654,0.0,4000.0,0.0,0.0,440.04400440044003
172,458,7933 W SR 105,41.047178,-85.625022,1800.0,3460.0,0.0,0.0,578.6578657865787
173,459,4565 N CR 1100 E,40.543572,-85.91966,3500.0,0.0,0.0,0.0,385.03850385038504
174,461,CR 275 E & CR 300 S,39.735124,-85.750291,1040.0,1800.0,475.0,0.0,490.3338648471589
175,462,6619 W CR 1150 S,39.355742,-85.905192,0.0,2760.0,0.0,0.0,303.63036303630366
176,463,345 E CR 200 S,40.27616491,-86.006285,3500.0,5868.0,1136.0,0.0,1456.051223099838
177,465,9090 W CR 700 N,40.649079,-86.697769,0.0,9300.0,0.0,0.0,1023.1023102310231
178,472,14693 N SR 62,38.099751,-87.034826,1540.0,2000.0,516.0,10.0,586.4426892127415
179,473,8117 W CR 1200 N,41.522669,-85.579545,1410.0,4000.0,500.0,0.0,782.4254335545915
180,474,5474 S CR 175 W,40.471057,-86.55928,600.0,5000.0,0.0,0.0,616.0616061606161
181,476,4601 N CR 600 W,40.1203,-87.019341,0.0,9140.0,0.0,0.0,1005.5005500550055
182,481,7563 E SR 240,39.631498,-86.716914,1750.0,0.0,2339.0,0.0,1068.549214472009
183,482,3330 W 216th St,40.10052,-86.23086,600.0,1970.0,66.0,0.0,307.4473739508783
184,484,6122 E CR 700 N,40.648725,-86.407439,0.0,450.0,3100.0,0.0,1210.5536396336263
185,490,4376 N CR 80 NE,39.39865,-85.356954,2000.0,1500.0,664.0,0.0,633.727642427164
186,491,14570 N CR 350 W,41.224577,-87.112433,900.0,1950.0,0.0,0.0,313.5313531353135
187,492,CR 100 E & CR 500 S,39.70953561,-85.78868736,1600.0,3200.0,580.0,0.0,745.2812697000038
188,498,6122 W CR 800 S,39.223767,-85.603376,0.0,4400.0,0.0,0.0,484.04840484048407
189,500,CR 400 S & CR 1100 W,40.69266479,-87.08483817,0.0,3800.0,0.0,0.0,418.04180418041807
190,505,10977 N Pine Bluff Rd,38.836345,-87.288323,0.0,0.0,1446.0,0.0,541.5730337078652
191,508,4965 Kale Cross Rd,38.596846,-86.82292,0.0,3900.0,0.0,0.0,429.042904290429
192,509,7204 W CR 650 N,40.13606,-87.039197,0.0,0.0,1000.0,0.0,374.53183520599254
193,510,9660 E CR 500 N,40.359485,-86.327994,4400.0,8400.0,0.0,0.0,1408.140814081408
194,511,7512 N US Hwy 421,40.65808,-86.734493,1200.0,2100.0,0.0,0.0,363.036303630363
195,512,3264 N SR 39,40.333577,-86.562592,4000.0,4600.0,0.0,0.0,946.0946094609461
196,513,1888 E CR 250 S,40.510619,-86.489741,1370.0,1320.0,233.0,30.0,394.431465618472
197,517,CR 550 E & CR 850 S,40.644847,-85.960916,1000.0,1850.0,0.0,0.0,313.5313531353135
198,518,16933 W CR 600 S,40.969441,-86.930968,3100.0,4400.0,0.0,0.0,825.0825082508251
199,519,CR 400 W & CR 800 N,40.945381,-85.87218,2800.0,0.0,0.0,0.0,308.03080308030803
200,520,CR 950 S & CR 1200 E,38.508241,-86.943413,2600.0,1100.0,0.0,0.0,407.04070407040706
201,521,9114 E CR 150 S,39.3180479,-85.31411074,1600.0,3850.0,0.0,0.0,599.5599559955996
202,529,CR 600 W & CR 800 S,40.4317928,-86.644112,450.0,3600.0,187.0,0.0,515.5820076389662
203,533,CR 600 W & CR 700 S,40.446169,-86.643907,2470.0,1840.0,320.0,0.0,593.9976020073918
204,536,8497 W CR 550 S,40.977567,-86.766529,8000.0,0.0,0.0,0.0,880.0880088008801
205,538,4775 S Old SR 15,40.75693,-85.761329,800.0,1600.0,352.0,0.0,395.8616086327734
206,539,4900 Watson Rd,39.62291297,-86.0094169,225.0,200.0,1964.0,0.0,782.3351998121161
207,541,211 S CR 900 E,41.233297,-85.670784,0.0,2837.0,0.0,0.0,312.1012101210121
208,544,CR 300 W & CR 800 N,40.402334,-86.57475,0.0,3000.0,0.0,0.0,330.03300330033005
209,551,12252 N SR 19 S,40.945429,-86.018347,0.0,600.0,8168.0,0.0,3125.182630622613
210,553,404 W SR 14,41.07242624,-85.842364,1000.0,2000.0,0.0,0.0,330.03300330033005
211,555,2494 E CR 200 N,39.367585,-85.432772,480.0,1900.0,460.0,0.0,434.11082681301843
212,556,CR 400 S & CR 450 W,39.280487,-85.559645,1100.0,2010.0,0.0,0.0,342.13421342134217
213,557,CR 100 S & CR 700 W,39.31006075,-85.612023,2023.0,4475.0,838.0,0.0,1028.7091630511366
214,563,8683 W N CR 00 S,40.55175986,-85.83798399,1200.0,1800.0,0.0,0.0,330.03300330033005
215,566,11145 W CR 600 S,41.143598,-86.041648,620.0,1410.0,289.0,0.0,331.56203260775516
216,567,499 E CR 900 S,40.924281,-86.593925,0.0,6765.0,0.0,0.0,744.2244224422442
217,569,3625 S CR 700 W,40.494826,-86.657526,0.0,12000.0,0.0,0.0,1320.1320132013202
218,570,CR 100 E & CR 1050 S,40.609152,-86.355346,3300.0,0.0,0.0,0.0,363.036303630363
219,571,5353 S CR 600 W,41.153913,-85.947276,700.0,1400.0,250.0,0.0,324.6560611117292
220,574,CR 700 S & CR 800 E,40.12691,-85.234471,5460.0,7660.0,0.0,0.0,1443.3443344334435
221,575,3606 W CR 750 S,38.269319,-86.975023,600.0,2000.0,300.0,0.0,398.38815342208375
222,578,10007 E CR 500 N,40.43845968,-86.44934543,1600.0,6400.0,0.0,0.0,880.0880088008801
223,580,SR 124 & CR 800 W,40.74053283,-85.60193273,0.0,5000.0,0.0,0.0,550.05500550055
224,584,14325 N CR 100 W,40.975161,-86.095973,0.0,8800.0,0.0,0.0,968.0968096809681
225,587,484 N CR 600 W,40.61745827,-86.64692385,8500.0,0.0,0.0,0.0,935.0935093509352
226,593,11880 S CR 700 E,40.24496,-86.771248,425.0,0.0,720.0,0.0,316.4175968158614
227,594,2866 St Anthony Rd W,38.33328,-86.854662,1920.0,4330.0,0.0,0.0,687.5687568756875
228,596,1595 N CR 350 W,40.569078,-86.591937,0.0,5100.0,0.0,0.0,561.0561056105611
229,598,5640 W CR 950 S,41.093653,-85.939441,6000.0,0.0,0.0,0.0,660.0660066006601
230,602,CR 500 E & CR 650 N,40.85935483,-86.29132212,840.0,1946.0,0.0,0.0,306.4906490649065
231,606,CR 700 S & CR 700 W,40.95577333,-86.738497,3200.0,7500.0,0.0,0.0,1177.117711771177
232,607,6321 E County Line Rd S,40.21474,-86.784412,0.0,0.0,3220.0,0.0,1205.992509363296
233,608,CR 100 S & CR 170 W,40.99822,-87.079617,1320.0,7216.0,0.0,0.0,939.0539053905391
234,609,3636 S CR 200 E,40.249784,-86.454962,1150.0,2820.0,1050.0,30.0,841.2380563899087
235,612,8720 S CR 275 E,39.755745,-87.412736,0.0,5040.0,0.0,0.0,554.4554455445544
236,614,1226 N CR 500 W,39.354209,-85.575561,0.0,3700.0,0.0,0.0,407.04070407040706
237,616,9596 S CR 350 E,39.38494225,-85.71269123,6600.0,3000.0,0.0,0.0,1056.1056105610562
238,618,11292 W CR 700 N,40.70714315,-87.110295,880.0,1800.0,392.0,0.0,441.6459623490439
239,622,6001 SR 165,38.126682,-87.79047,1100.0,1490.0,475.0,7.0,465.45283741857327
240,628,1127 S CR 700 W 1,40.72648646,-85.06770636,1700.0,1525.0,0.0,0.0,354.7854785478548
241,631,817 E CR 370,40.959322,-87.030001,0.0,7600.0,0.0,0.0,836.0836083608361
242,635,609 N SR 55,41.007741,-87.333515,1500.0,1400.0,4494.0,0.0,2002.1779706060495
243,637,13782 N CR 750 W,41.025058,-85.935889,8000.0,0.0,0.0,0.0,880.0880088008801
244,640,4482 W SR 8,41.31719083,-86.78459631,0.0,3200.0,0.0,0.0,352.035203520352
245,641,US Hwy 231 & CR 10,38.529799,-86.894363,0.0,4000.0,0.0,0.0,440.04400440044003
246,642,938 N CR 400 W,40.050249,-86.978293,0.0,0.0,2660.0,0.0,996.2546816479401
247,644,3058 CR 800 E,40.47411092,-86.75185929,0.0,3000.0,0.0,0.0,330.03300330033005
248,646,9254 E US Hwy 40,39.791595,-85.62812,3300.0,5300.0,1100.0,0.0,1358.0796281875378
249,647,6460 W CR 100 N,39.35058,-85.603877,4000.0,0.0,3917.0,0.0,1907.0852029023126
250,649,CR 150 W & CR 1050 S,39.047273,-85.927957,0.0,0.0,1200.0,0.0,449.43820224719104
251,650,1411 S US Hwy 421,39.31530164,-85.45271452,800.0,3000.0,500.0,0.0,605.3077217834143
252,656,620 S CR 600 E,41.22666,-85.725766,750.0,4672.0,100.0,0.0,633.9328314853958
253,658,7980 N SR 5,41.27972912,-85.64327964,600.0,2400.0,330.0,10.0,457.37382727036754
254,659,8881 N CR 350 E,40.1703966,-86.838145,1150.0,920.0,694.0,0.0,487.6478659101865
255,662,29225 Lacy Rd,40.21408056,-85.95687013,2000.0,2766.0,807.0,0.0,826.5596222543603
256,663,11989 S CR 630 W,40.83883437,-87.163947,4600.0,5450.0,0.0,0.0,1105.6105610561056
257,665,6326 E SR 244,39.497761,-85.330174,0.0,0.0,3008.0,0.0,1126.5917602996255
258,666,7554 E CR 600 N,40.638912,-85.530155,0.0,5400.0,0.0,0.0,594.059405940594
259,669,6325 E CR 500 S,40.478168,-86.408291,0.0,6500.0,0.0,0.0,715.0715071507151
260,670,1171 W CR 300 S,40.95995703,-87.41184034,2000.0,4030.0,699.0,0.0,925.1640894426522
261,673,2825 W CR 550 N,40.39662826,-87.375052,2200.0,5000.0,0.0,0.0,792.0792079207921
