ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units
24285,The Corporation of the County of Prince Edward,Picton Wastewater Treatment Facility,Picton,ON,44.006,-77.1391,operational,3513,Prince Edward,1130.8545,1163.146,878.6721,995.8992000000001,1309.5495,1154.3217,1200.5902,thousand m3
24286,The Corporation of the County of Prince Edward,Wellington Wastewater Treatment Facility,Wellington,ON,43.9474,-77.3637,operational,3513,Prince Edward,267.594,305.772,240.4751,255.02820000000003,346.3011,313.5443,350.4759,thousand m3
24287,Norfolk County Public Works & Environmental Services,Delhi WWTF,Delhi,ON,42.8529,-80.5051,operational,3528,Haldimand-Norfolk,533.476,457.961,342.87800000000004,319.727,383.5495,451.03,490.42,thousand m3
24290,Norfolk County Public Works & Environmental Services,Port Rowan WWTF,Port Rowan,ON,42.6222,-80.4649,operational,3528,Haldimand-Norfolk,204.443,271.847,219.10399999999998,225.144,218.8324,220.488,229.65,thousand m3
24292,Norfolk County Public Works & Environmental Services,Waterford WWTF,Waterford,ON,42.9365,-80.2713,operational,3528,Haldimand-Norfolk,381.79,427.20300000000003,380.50600000000003,367.89300000000003,106.376,431.786,496.51300000000003,thousand m3
24299,Chippewas of Kettle and Stony Point First Nation,Kettle & Stony Point Sewage Treatment Facility,Kettle & Stony Point First Nation,ON,43.1787,-82.0053,operational,3538,Lambton,51.441,43.9043,41.3875,42.4592,40.0875,28.8604,20.364,thousand m3
24301,Corporation of the Twp. of St. Joseph,Richard's Landing WWTP,Richard's Landing,ON,46.2927,-84.0304,operational,3557,Algoma,47.808,45.121,42.905,40.382,50.062,50.016000000000005,52.303,thousand m3
24322,The Corporation of the Township of Cramahe,WWT  Plant,Colborne,ON,43.9997,-77.8951,operational,3514,Northumberland,571.982,607.726,431.78499999999997,397.206,475.182,439.2641,421.346,thousand m3
24329,Township of St. Clair,Sombra Lagoons,Sombra,ON,42.7048,-82.4786,operational,3538,Lambton,208.63,214.772,149.597,144.727,179.523,197.736,219.353,thousand m3
24330,Township of St. Clair,Port Lambton Lagoons,Port Lambton,ON,42.65,-82.4924,operational,3538,Lambton,193.75900000000001,194.361,100.483,126.34100000000001,229.705,218.455,283.942,thousand m3
