,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),latitude,longitude,tech_selected
103,5409 E Ray Clark Rd,1620.0,0.0,22397675.310000002,14109.249321001324,-69921.2139660304,-138304.90752702364,0.0,17918.140248000003,1053430.7707055672,147726.31675921383,197889.68679281225,No,No,59584.77926578864,0.0,41.69344507,-84.89033591,MULTIFORM
104,9302 S CR 275 E,1900.0,0.0,26268878.45,16547.885006112654,-72086.90294477709,-153464.73037825048,0.0,21015.10276,1053430.7707055672,173184.74343415725,223348.11346775567,No,No,69883.38308950521,0.0,39.800955,-85.33371,MULTIFORM
105,673 S CR 500 E,460.0,0.0,6359833.73,4006.330054111486,-60695.085238201726,-75151.93968033913,0.0,5087.866984,1049140.9709612187,42111.980678291635,92071.07453358776,No,No,16919.13485324863,0.0,40.732347999999995,-85.126402,MULTIFORM
106,4202 E CR 200 N,2250.0,0.0,31107882.37500001,19596.179612501837,-75005.03683231302,-172976.39589578487,0.0,24886.305900000007,1056176.5857912193,205438.91063202056,255733.03376493577,No,No,82756.63786915092,0.0,41.636231,-86.619596,MULTIFORM
107,4189 E CR 600 N,10560.0,0.0,145999661.28,91971.40298134193,-168390.01966699638,75303.5881222449,0.0,116799.729024,3762101.1773736575,133953.22383060533,313100.8989436367,Yes,No,388404.48706588155,0.0,41.064728,-87.31498,CRYSTALACTOR
108,4618 N CR 200 W,3000.0,0.0,41477176.5,26128.239483335776,-114819.59489613284,-243344.96900919016,0.0,33181.741200000004,1681176.5857912193,273631.1249399047,353687.1528347247,No,No,110342.18382553455,0.0,41.080586,-87.08469000000001,MULTIFORM
109,0011 S CR 525 E,780.0,0.0,10784065.890000002,6793.342265667303,-63170.158356769374,-92477.45151031269,0.0,8627.252712000001,1049140.9709612187,71207.32544965555,121166.41930495168,No,No,28688.967794638982,0.0,41.606546,-86.59689499999999,MULTIFORM
110,7630 E CR 1100 S 90,2200.0,0.0,30416596.1,19160.708954446236,-74618.30665753684,-170269.28467235147,0.0,24333.27688,1056176.5857912193,200892.76301149488,251186.8861444101,No,No,80917.60147205864,0.0,40.582671999999995,-85.076477,MULTIFORM
111,8784 E SR 38,600.0,0.0,8295435.300000002,5225.647896667156,-61777.929727575065,-82731.85110595258,0.0,6636.348240000001,1049140.9709612187,54841.19401576335,104800.28787105948,No,No,22068.43676510691,0.0,39.917998,-85.21688,MULTIFORM
112,7055 W CR 100 N,5900.0,0.0,81571780.45,51385.53765056036,-144969.62774691702,-2574.433700939844,0.0,65257.424360000005,3036638.8815824385,74978.87705389883,219580.72855782445,No,No,217006.2948568846,0.0,40.330703,-87.45772,CRYSTALACTOR
113,14571 N CR 500 E,360.0,0.0,4977261.18,3135.388738000294,-59921.62488864933,-69737.71723347239,0.0,3981.808944,1049140.9709612187,33019.685437240405,82978.77929253654,No,No,13241.062059064147,0.0,40.978305999999996,-85.98437,MULTIFORM
114,9331 S Club Rd,650.0,0.0,8986721.575000001,5661.1185547227515,-62164.65990235126,-85438.96232938593,0.0,7189.377260000001,1049140.9709612187,59387.341636288955,109346.43549158509,No,No,23907.47316219915,0.0,38.245267,-86.851399,MULTIFORM
115,5675 W CR 600 N,319.0,0.0,4410406.4345,2778.302798394704,-59604.506145332845,-67517.88603025702,0.0,3528.3251476000005,1049140.9709612187,29291.844388409398,79250.93824370553,No,No,11733.052213448505,0.0,40.490293,-87.015129,MULTIFORM
116,2625 E CR 1200 N,1400.0,0.0,19356015.7,12193.178425556694,-68219.60119701512,-126393.61814391677,0.0,15484.81256,1053430.7707055672,127723.26722890111,177886.63726249954,No,No,51493.019118582786,0.0,39.787224,-85.397115,MULTIFORM
117,11569 S CR 700 W 90,915.0,0.0,12650538.832500001,7969.113042417414,-64214.329828665104,-99786.6518135828,0.0,10120.431066000001,1049140.9709612187,83481.92402507471,133441.01788037084,No,No,33654.36606678805,0.0,40.573605,-85.35219000000001,MULTIFORM
118,SR 71 & CR 300 N,5000.0,0.0,69128627.49999999,43547.06580555962,-164961.98235505805,-382282.8192912601,0.0,55302.901999999995,2317353.1715824385,455836.3079727492,566186.4590004843,No,No,183903.6397092242,0.0,40.645887,-87.47149399999999,MULTIFORM
