,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),Total manure (lbs/yr) ,Total manure method 2 (lbs/yr),Type,latitude,longitude,node ,number,tech_selected
123,"N8076 Butternut Road, Burnett, WI 53922",1139,0.0,15747501.3445,9920.021590506485,-66200.86968468336,-112262.4975575946,0.0,12598.0010756,1053430.7707055672,103992.37664975744,154155.7466833559,No,No,41893.249125761286,0.0,34515656.0178334,34614926.4420892,dairy ,43.486086,-88.7412349999999,n124,124,MULTIFORM
124,"22220 Herzog Road, Reedsville, WI 54230",1603,0.0,22162637.976499997,13961.189297262415,-69789.72570660648,-137384.48971105626,0.0,17730.110381199996,1053430.7707055672,146180.6265682351,196343.99660183355,No,No,58959.50689077728,0.0,48576467.6001641,48716723.8794284,dairy ,44.162424,-88.00700499999991,n125,125,MULTIFORM
125,"12031 Hillcrest Rd, Whitelaw, WI 54247",1370,0.0,18941243.935000002,11931.89603072334,-67987.5630921494,-124769.35140985677,0.0,15152.995148000002,1053430.7707055672,124995.57865658576,175158.94869018422,No,No,50389.59728032743,0.0,41515758.3357609,41635433.355937,dairy ,44.1947074,-87.83416650000001,n126,126,MULTIFORM
126,"W215 State Road 21, Berlin, WI 54923",1079,0.0,14917957.814499998,9397.45680083977,-65482.80480193103,-108665.97662644424,0.0,11934.366251599999,1049140.9709612187,98393.2882203987,148352.38207569483,No,No,39686.40544925058,0.0,32697447.623566497,32791418.1527781,dairy ,44.0465417,-88.8937301,n127,127,MULTIFORM
127,"W8371 Oak Ave, Shawano, WI 54166",3625,0.0,50118254.9375,31571.622709030737,-119653.72208083529,-277183.8593021073,0.0,40094.60395,1681176.5857912193,330457.97019647487,410513.99809129484,No,No,133330.13878918753,0.0,109850090.486959,110168953.22921298,dairy ,44.7947907,-88.6630809,n128,128,MULTIFORM
128,"N3612 Will Road, Jefferson, WI 53549",2454,0.0,33928330.377000004,21372.899897368665,-110596.50138757679,-213783.31444929773,0.0,27142.664301600005,1681176.5857912193,223987.192923765,304043.22081858496,No,No,90259.90636928724,0.0,74364723.3255163,74580149.7828243,dairy ,42.973292,-88.775482,n129,129,MULTIFORM
129,"W2651 Kiel Rd, Malone, WI 53049",4170,0.0,57653275.335,36318.252881836735,-123869.08098589582,-306691.37163753103,0.0,46122.620268,1681176.5857912193,380010.9792602041,460067.0071550241,No,No,153375.63551749304,0.0,126365483.40155,126732486.857122,dairy ,43.908778000000005,-88.290109,n130,130,MULTIFORM
130,"N8783 Basswood Rd, Beaver Dam, WI 53816",2574,0.0,35587417.437,22418.029476702093,-111524.65380703966,-220280.3813855378,0.0,28469.933949600003,1681176.5857912193,234897.94721302643,314953.97510784643,No,No,94673.59372230862,0.0,78001140.11405009,78227166.3614465,dairy ,43.5125096,-88.7761132999999,n131,131,MULTIFORM
131,"N870 County Road GG, Kaukauna, WI 54130",1203,0.0,16632347.776500002,10477.42403281765,-66695.88430839691,-115727.59992358933,0.0,13305.8782212,1053430.7707055672,109811.44560403022,159974.81563762866,No,No,44247.21571403935,0.0,36455078.3050514,36560001.9506877,dairy ,44.269629599999895,-88.2133444999999,n132,132,MULTIFORM
132,"18218 W State Rd 59, Evansville, WI 53536",5413,0.0,74838652.1315,47144.05344109886,-168156.3735987094,-404643.55799681984,0.0,59870.9217052,2317353.1715824385,493387.4873182908,603737.638346026,No,No,199094.08034920614,0.0,164032700.636112,164509500.25068402,dairy ,42.737837,-89.360787,n133,133,MULTIFORM
133,"3870 Dickinson Rd, De Pere, WI 54115",2764,0.0,38214305.282,24072.817977313363,-112994.2284711892,-230567.40403458464,0.0,30571.4442256,1681176.5857912193,252173.30817102385,332229.3360658438,No,No,101661.93203125917,0.0,83758800.0292287,84001609.27759829,dairy ,44.4227403,-87.96956229999991,n134,134,MULTIFORM
